peak_id	transcription_factor	comparison	SqDiff
MM1_HSA_HepG2_BHLHE40	BHLHE40	ATF3	0.06751524584198428
MM1_HSA_HepG2_BHLHE40	BHLHE40	MAX	0.03669811097129316
MM1_HSA_HepG2_CEBPA	CEBPA	CEBPD	0.06589656256399866
MM1_HSA_HepG2_CEBPA	CEBPA	HLF	0.05320362131062622
MM1_HSA_HepG2_CEBPB	CEBPB	CEBPD	0.07566171538650988
MM1_HSA_HepG2_CEBPD	CEBPD	CEBPA	0.0668570036268987
MM1_HSA_HepG2_CEBPD	CEBPD	HLF	0.04981375452401358
MM1_HSA_HepG2_CEBPG	CEBPG	CEBPG	0.048541848328103196
MM1_HSA_HepG2_CEBPG	CEBPG	CEBPA	0.06545035088930626
MM1_HSA_HepG2_CEBPG	CEBPG	HLF	0.10957423973000494
MM1_HSA_HepG2_CEBPG	CEBPG	CEBPD	0.03458818732204056
MM1_HSA_HepG2_CTCF	CTCF	ARID3A	0.03269414968749342
MM1_HSA_HepG2_ELF1	ELF1	ELF3	0.10668026175997922
MM1_HSA_HepG2_ELF1	ELF1	ETV4	0.0531109916376661
MM1_HSA_HepG2_ETV4	ETV4	ELF3	0.06332458217617776
MM1_HSA_HepG2_FOXA2	FOXA2	FOXA3	0.031674850895078946
MM1_HSA_HepG2_FOXA3	FOXA3	HMG20A	0.107960922731569
MM1_HSA_HepG2_GABPA	GABPA	ETV4	0.036680089600218874
MM1_HSA_HepG2_HLF	HLF	CEBPA	0.053628847660680885
MM1_HSA_HepG2_HLF	HLF	CEBPB	0.050183252747916234
MM1_HSA_HepG2_HLF	HLF	NFIL3	0.08457453723133124
MM1_HSA_HepG2_HLF	HLF	CEBPG	0.12843413664059727
MM1_HSA_HepG2_HMG20A	HMG20A	FOXA3	0.03621886322114356
MM1_HSA_HepG2_HMG20A	HMG20A	BCL6	0.0333945808545413
MM1_HSA_HepG2_HNF4A	HNF4A	HNF4G	0.031701866783489185
MM1_HSA_HepG2_HNF4G	HNF4G	PPARG	0.03398073904604978
MM1_HSA_HepG2_JUN	JUN	JUN	0.23408633364367662
MM1_HSA_HepG2_JUN	JUN	ATF7	0.24805044497048057
MM1_HSA_HepG2_JUN	JUN	ATF2	0.16179813456454425
MM1_HSA_HepG2_JUN	JUN	CEBPB	0.05761150887078881
MM1_HSA_HepG2_JUND	JUND	JUND	0.2521680627517033
MM1_HSA_HepG2_JUND	JUND	ATF7	0.38379958212186965
MM1_HSA_HepG2_JUND	JUND	ATF2	0.27440263487729355
MM1_HSA_HepG2_JUND	JUND	JUN	0.12353823554745041
MM1_HSA_HepG2_JUND	JUND	FOSL2	0.4347268260306841
MM1_HSA_HepG2_MAFF	MAFF	MAFK	0.037152620758517406
MM1_HSA_HepG2_MAFF	MAFF	BACH1	0.03353301186568407
MM1_HSA_HepG2_MAFF	MAFF	NFE2L2	0.0323830186539937
MM1_HSA_HepG2_MAFK	MAFK	NFE2L2	0.05280802462656601
MM1_HSA_HepG2_MAFK	MAFK	BACH1	0.04545871847686992
MM1_HSA_HepG2_MNT	MNT	MAX	0.10575827315843367
MM1_HSA_HepG2_MNT	MNT	MXI1	0.08291812160209398
MM1_HSA_HepG2_MNT	MNT	USF1	0.10431754836032134
MM1_HSA_HepG2_MNT	MNT	USF2	0.07885612270035992
MM1_HSA_HepG2_NFE2L2	NFE2L2	FOSL2	0.06142980077234158
MM1_HSA_HepG2_NFIL3	NFIL3	NFIL3	0.034873356580145676
MM1_HSA_HepG2_NFIL3	NFIL3	HLF	0.07569754466648913
MM1_HSA_HepG2_NFIL3	NFIL3	CEBPG	0.16391632373113857
MM1_HSA_HepG2_NFYC	NFYC	SP5	0.07852900839455183
MM1_HSA_HepG2_NFYC	NFYC	USF1	0.04077977395253827
MM1_HSA_HepG2_NFYC	NFYC	USF2	0.036682620541547174
MM1_HSA_HepG2_NFYC	NFYC	ELF1	0.07191740329061469
MM1_HSA_HepG2_NR2F1	NR2F1	RARA	0.054685659210271645
MM1_HSA_HepG2_NRF1	NRF1	SP5	0.032042889706580875
MM1_HSA_HepG2_NRF1	NRF1	MAZ	0.05400191645354681
MM1_HSA_HepG2_NRF1	NRF1	ELF1	0.06338876487485452
MM1_HSA_HepG2_NRF1	NRF1	GABPA	0.06086845330065533
MM1_HSA_HepG2_REST	REST	CTCF	0.06774895320889435
MM1_HSA_HepG2_RFX1	RFX1	SP5	0.09182736455463729
MM1_HSA_HepG2_RFX1	RFX1	ELF1	0.08560447107837216
MM1_HSA_HepG2_RFX3	RFX3	RFX5	0.031052867469973208
MM1_HSA_HepG2_RFX3	RFX3	SP5	0.04304750244144184
MM1_HSA_HepG2_RFX3	RFX3	ELF1	0.14641781108802146
MM1_HSA_HepG2_RFX5	RFX5	RFX1	0.05788017513583831
MM1_HSA_HepG2_RFX5	RFX5	RFX3	0.08111783590441643
MM1_HSA_HepG2_RXRA	RXRA	NR2F6	0.035453432547778774
MM1_HSA_HepG2_RXRA	RXRA	HNF4A	0.0341259838152783
MM1_HSA_HepG2_RXRA	RXRA	NR2F2	0.04688349688149379
MM1_HSA_HepG2_SOX5	SOX5	BCL6	0.03276761562676999
MM1_HSA_HepG2_SOX5	SOX5	FOXA2	0.03627551020408165
MM1_HSA_HepG2_SP5	SP5	MAZ	0.06555752190675407
MM1_HSA_HepG2_SP5	SP5	ELF1	0.04311903707010302
MM1_HSA_HepG2_SP5	SP5	FOXA3	0.04781469954502227
MM1_HSA_HepG2_USF1	USF1	MAX	0.05107286115487132
MM1_HSA_HepG2_YY1	YY1	TAF1	0.07612363447064453
MM1_HSA_HepG2_YY1	YY1	SP5	0.0514401105324689
MM1_HSA_HepG2_ZMYM3	ZMYM3	CEBPA	0.06349133040509344
MM1_HSA_HepG2_ZMYM3	ZMYM3	CEBPG	0.048278919029365534
MM1_HSA_HepG2_ZMYM3	ZMYM3	SOX5	0.04043733821955606
MM1_HSA_HepG2_ZMYM3	ZMYM3	CEBPB	0.055512362568046356
MM1_HSA_HepG2_ZNF143	ZNF143	CTCF	0.04938212872359037
MM1_HSA_IMR-90_BHLHE40	BHLHE40	USF2	0.0390097021352998
MM1_HSA_IMR-90_BHLHE40	BHLHE40	MAZ	0.10841616752787957
MM1_HSA_IMR-90_CEBPB	CEBPB	FOS	0.16317201658773323
MM1_HSA_IMR-90_CEBPB	CEBPB	CTCF	0.29883367422051144
MM1_HSA_IMR-90_CEBPB	CEBPB	NFE2L2	0.07214930285170146
MM1_HSA_IMR-90_CTCF	CTCF	MAZ	0.048012020420450684
MM1_HSA_IMR-90_FOS	FOS	NFE2L2	0.03967916307441115
MM1_HSA_IMR-90_FOS	FOS	MAFK	0.054680788218084246
MM1_HSA_IMR-90_MAFK	MAFK	NFE2L2	0.041419559263386654
MM1_HSA_IMR-90_MAFK	MAFK	FOS	0.06744160790121036
MM1_HSA_IMR-90_NFE2L2	NFE2L2	FOS	0.10203348773979085
MM1_HSA_IMR-90_NFE2L2	NFE2L2	MAZ	0.10683399118754153
MM1_HSA_IMR-90_USF2	USF2	BHLHE40	0.04793092657153286
MM1_HSA_IMR-90_USF2	USF2	MXI1	0.07437718957578247
MM1_HSA_IMR-90_USF2	USF2	MAZ	0.14174152078873903
MM1_HSA_K562_AFF1	AFF1	ZNF184	0.11065389386879664
MM1_HSA_K562_ATF2	ATF2	ATF4	0.036189047846590466
MM1_HSA_K562_ATF3	ATF3	ATF3	0.1393054068615889
MM1_HSA_K562_ATF3	ATF3	JUND	0.21209040102657897
MM1_HSA_K562_ATF3	ATF3	FOS	0.11647638951909718
MM1_HSA_K562_ATF3	ATF3	FOSL1	0.19504510213575452
MM1_HSA_K562_ATF3	ATF3	JUN	0.12000085062466272
MM1_HSA_K562_ATF7	ATF7	CREB1	0.05066669575696279
MM1_HSA_K562_BHLHE40	BHLHE40	USF2	0.0386607538031473
MM1_HSA_K562_BHLHE40	BHLHE40	MNT	0.06226344420460397
MM1_HSA_K562_C11orf30	C11orf30	MAFG	0.043318468627104235
MM1_HSA_K562_CEBPB	CEBPB	ATF4	0.0896266176122293
MM1_HSA_K562_CEBPB	CEBPB	ATF7	0.19047412267624353
MM1_HSA_K562_CEBPB	CEBPB	ATF3	0.17404948836737424
MM1_HSA_K562_CEBPB	CEBPB	JUND	0.12221260825038065
MM1_HSA_K562_CEBPD	CEBPD	CEBPD	0.10859517241744714
MM1_HSA_K562_CEBPD	CEBPD	CEBPB	0.17998855925005466
MM1_HSA_K562_CEBPD	CEBPD	ATF4	0.0880553372488445
MM1_HSA_K562_CEBPD	CEBPD	ATF3	0.14795349024064092
MM1_HSA_K562_CREM	CREM	CREB1	0.04811682986430664
MM1_HSA_K562_CTCFL	CTCFL	CTCF	0.031221635935632312
MM1_HSA_K562_E2F4	E2F4	MAZ	0.050419595198003944
MM1_HSA_K562_E2F4	E2F4	SP1	0.03420996100204904
MM1_HSA_K562_E4F1	E4F1	GABPB1	0.0408194042257668
MM1_HSA_K562_E4F1	E4F1	ELF4	0.0418881058578907
MM1_HSA_K562_E4F1	E4F1	GABPA	0.04450301496400287
MM1_HSA_K562_EGR1	EGR1	MAZ	0.055098052128372356
MM1_HSA_K562_EGR1	EGR1	E2F4	0.05581899045064941
MM1_HSA_K562_EGR1	EGR1	KLF13	0.0985019087077522
MM1_HSA_K562_ETV6	ETV6	E4F1	0.09262959172877369
MM1_HSA_K562_ETV6	ETV6	ELF4	0.10875371921303315
MM1_HSA_K562_FOS	FOS	FOS	0.041583296626861756
MM1_HSA_K562_FOS	FOS	JUND	0.07495905374367852
MM1_HSA_K562_FOS	FOS	JUN	0.03798624417809007
MM1_HSA_K562_GABPA	GABPA	E4F1	0.03825232858227021
MM1_HSA_K562_GABPA	GABPA	ELF1	0.04088523479937665
MM1_HSA_K562_GABPB1	GABPB1	E4F1	0.048178178624964735
MM1_HSA_K562_GABPB1	GABPB1	ELF4	0.049569785271250943
MM1_HSA_K562_GABPB1	GABPB1	ELF1	0.045198288518487166
MM1_HSA_K562_MAFF	MAFF	C11orf30	0.06034676869895569
MM1_HSA_K562_MAFF	MAFF	MAFG	0.10306243403159393
MM1_HSA_K562_MAFG	MAFG	NFE2	0.04454795070368176
MM1_HSA_K562_MAFK	MAFK	C11orf30	0.050517290786308414
MM1_HSA_K562_MAFK	MAFK	MAFG	0.07098746415281446
MM1_HSA_K562_MAX	MAX	MNT	0.05750172285948175
MM1_HSA_K562_MEIS2	MEIS2	PBX2	0.058277694562370246
MM1_HSA_K562_NFE2L1	NFE2L1	NFE2L2	0.05962008332744862
MM1_HSA_K562_NFE2L1	NFE2L1	C11orf30	0.10674715242774137
MM1_HSA_K562_NFYB	NFYB	USF1	0.08170765919555362
MM1_HSA_K562_NFYB	NFYB	MAZ	0.17294675322487982
MM1_HSA_K562_NFYB	NFYB	PKNOX1	0.12661920931721318
MM1_HSA_K562_NR2F1	NR2F1	NR2F2	0.04119093229719447
MM1_HSA_K562_NR2F1	NR2F1	ESRRA	0.05392340177628982
MM1_HSA_K562_NR2F1	NR2F1	JUND	0.05174391358447302
MM1_HSA_K562_NRF1	NRF1	ZBTB2	0.095684577645903
MM1_HSA_K562_NRF1	NRF1	MAZ	0.08120171959245003
MM1_HSA_K562_NRF1	NRF1	E2F4	0.07402143705705355
MM1_HSA_K562_NRF1	NRF1	GABPB1	0.03929716400580478
MM1_HSA_K562_PBX2	PBX2	PKNOX1	0.0522114967585829
MM1_HSA_K562_PKNOX1	PKNOX1	PBX2	0.04898622002527124
MM1_HSA_K562_PKNOX1	PKNOX1	MEIS2	0.035750811372950025
MM1_HSA_K562_PKNOX1	PKNOX1	JUND	0.0311250136442286
MM1_HSA_K562_REST	REST	CTCF	0.05082803995592819
MM1_HSA_K562_RFX1	RFX1	MAZ	0.1359990481856038
MM1_HSA_K562_RFX1	RFX1	E4F1	0.03554586323551038
MM1_HSA_K562_SMARCA5	SMARCA5	ZMYM3	0.06475952697841957
MM1_HSA_K562_SMARCA5	SMARCA5	RBM25	0.05189196125343312
MM1_HSA_K562_SPI1	SPI1	GABPB1	0.09205332032178676
MM1_HSA_K562_SPI1	SPI1	E4F1	0.10514727965129723
MM1_HSA_K562_SPI1	SPI1	ELF4	0.14517712090764015
MM1_HSA_K562_SPI1	SPI1	ELF1	0.14318105925635122
MM1_HSA_K562_TAL1	TAL1	GATA1	0.03877869822485208
MM1_HSA_K562_USF2	USF2	MITF	0.03960014531599312
MM1_HSA_K562_VEZF1	VEZF1	E2F4	0.07133723793009167
MM1_HSA_K562_YY1	YY1	MAZ	0.13518968458116923
MM1_HSA_K562_YY1	YY1	GABPB1	0.08600415328335333
MM1_HSA_K562_YY1	YY1	E4F1	0.07991898727221261
MM1_HSA_K562_ZNF143	ZNF143	SIX5	0.046355153304524985
MM1_HSA_K562_ZNF143	ZNF143	CTCF	0.03302966730312067
MM1_HSA_K562_ZNF184	ZNF184	AFF1	0.0727227163379039
MM1_HSA_K562_ZNF316	ZNF316	C11orf30	0.0777250998608689
MM1_HSA_K562_ZNF316	ZNF316	MAFG	0.06055802172331916
MM1_HSA_K562_ZNF75A	ZNF75A	ELK1	0.036716985191294065
MM1_HSA_MCF-7_ATF7	ATF7	CREB1	0.04313917232921815
MM1_HSA_MCF-7_ATF7	ATF7	FOS	0.12367347013480814
MM1_HSA_MCF-7_ATF7	ATF7	CEBPB	0.08547062278881458
MM1_HSA_MCF-7_ATF7	ATF7	GRHL2	0.2027708010815614
MM1_HSA_MCF-7_CEBPB	CEBPB	FOS	0.2220977460307974
MM1_HSA_MCF-7_CEBPB	CEBPB	GRHL2	0.13674794633592072
MM1_HSA_MCF-7_CEBPB	CEBPB	TFAP2C	0.13859124219578298
MM1_HSA_MCF-7_CEBPG	CEBPG	ATF7	0.40905480674539824
MM1_HSA_MCF-7_CEBPG	CEBPG	FOS	0.29679849789724017
MM1_HSA_MCF-7_CEBPG	CEBPG	GRHL2	0.17635577783694129
MM1_HSA_MCF-7_CREB1	CREB1	FOS	0.08881381654242963
MM1_HSA_MCF-7_CREB1	CREB1	TFAP2C	0.09766532951664372
MM1_HSA_MCF-7_CREB1	CREB1	GABPA	0.2797468829277503
MM1_HSA_MCF-7_CTCF	CTCF	TRIM22	0.05881310048198156
MM1_HSA_MCF-7_ESR1	ESR1	FOS	0.0419218326489328
MM1_HSA_MCF-7_ESRRA	ESRRA	NR2F2	0.08569254013728828
MM1_HSA_MCF-7_FOS	FOS	FOS	0.049333880066943434
MM1_HSA_MCF-7_FOS	FOS	FOSL2	0.1908050417961209
MM1_HSA_MCF-7_FOS	FOS	JUND	0.203304368622449
MM1_HSA_MCF-7_FOS	FOS	DPF2	0.1619957135221074
MM1_HSA_MCF-7_FOS	FOS	TFAP2C	0.04427102537404215
MM1_HSA_MCF-7_FOSL2	FOSL2	DPF2	0.0396881103515625
MM1_HSA_MCF-7_GRHL2	GRHL2	SMARCE1	0.1920468208082711
MM1_HSA_MCF-7_NFIB	NFIB	NR5A2	0.06639936877972591
MM1_HSA_MCF-7_NFIB	NFIB	TFAP2C	0.036556882576271765
MM1_HSA_MCF-7_NFIB	NFIB	TFAP2A	0.05409324311728556
MM1_HSA_MCF-7_REST	REST	TFAP2C	0.06092823718591084
MM1_HSA_MCF-7_REST	REST	TFAP2A	0.05324679219713131
MM1_HSA_MCF-7_REST	REST	CTCF	0.18885012860713446
MM1_HSA_MCF-7_RFX1	RFX1	TFAP2C	0.04061347882384559
MM1_HSA_MCF-7_RFX1	RFX1	FOS	0.059376784518746055
MM1_HSA_MCF-7_RFX1	RFX1	CTCF	0.08574532428921038
MM1_HSA_MCF-7_RFX1	RFX1	GRHL2	0.040330203902649304
MM1_HSA_MCF-7_RFX5	RFX5	RFX1	0.03579140428679985
MM1_HSA_MCF-7_SREBF1	SREBF1	ZNF507	0.06227895684861775
MM1_HSA_MCF-7_TFAP2C	TFAP2C	FOS	0.05326767002631801
MM1_HSA_MCF-7_TFAP2C	TFAP2C	CTCF	0.05356529165124699
MM1_HSA_SK-N-SH_MAX	MAX	MAX	0.05841670491482766
MM1_HSA_SK-N-SH_MAX	MAX	MXI1	0.23557819672641134
MM1_HSA_SK-N-SH_MAX	MAX	FOSL2	0.03631500669456521
MM1_HSA_SK-N-SH_MAX	MAX	JUND	0.04003616624669447
MM1_HSA_SK-N-SH_MXI1	MXI1	MAX	0.1408005353678794
MM1_HSA_SK-N-SH_MXI1	MXI1	USF1	0.10977110111180445
MM1_HSA_SK-N-SH_MXI1	MXI1	USF2	0.06085782789111807
MM1_HSA_SK-N-SH_MXI1	MXI1	CTCF	0.06373971983176718
MM1_HSA_SK-N-SH_USF1	USF1	USF1	0.0355293230905472
MM1_HSA_SK-N-SH_USF1	USF1	USF2	0.11486496071436568
MM1_HSA_SK-N-SH_USF1	USF1	MXI1	0.08689847571374955
MM1_HSA_SK-N-SH_USF2	USF2	USF2	0.04242057448159305
MM1_HSA_SK-N-SH_USF2	USF2	USF1	0.05226098802668402
MM1_HSA_SK-N-SH_USF2	USF2	YY1	0.03114606035713022
MM1_HSA_SK-N-SH_YY1	YY1	YY1	0.031764950402145144
MM1_HSA_SK-N-SH_YY1	YY1	TAF1	0.14315842334140136
MM1_HSA_SK-N-SH_YY1	YY1	ELF1	0.04552674126849951
